TeamName,cset,PerfScore,ExecTimeOverhead,FileSizeOverhead,MemUseOverhead
Third Place Team - Finalist,CROMU_00001,0.9159762954239805,0.025828905399797764,-0.019196560924992556,0.12218367651447326
Second Place Team - Finalist,CROMU_00001,1,0.051484358708116185,-0.0011435347931049167,-0.01917053678006564
Fifth Place Team - Finalist,CROMU_00001,1,0.05963393762815827,-0.0008470628097073662,0.029324082363473725
Sixth Place Team - Finalist,CROMU_00001,0,0.20536476395425707,0.6836220405743085,1.1260081412264995
First Place Team - Finalist,CROMU_00001,0.9756481112345987,0.10618235720424019,-0.7718753970606921,0.06109183825723674
Tenth Place Team,CROMU_00001,1,0.018401273245859384,0.004394138325356733,0.03054591912861837
Seventh Place Team - Finalist,CROMU_00001,1,-0.3934037999967318,-0.0008470628097073662,-0.21380436809907488
Fourth Place Team - Finalist,CROMU_00001,1,0.048681557358699834,0.049754351785184836,0.08585380296926282
Ninth Place Team,CROMU_00001,1,0.02709909037073266,-0.8598111049934353,0.09163775738585489
Third Place Team - Finalist,CROMU_00002,0.39028345172336043,-0.812482682488253,0.02465396147369292,0.3651877133105803
Second Place Team - Finalist,CROMU_00002,1,0.07002168839919976,-0.013143303076354362,0.007963594994311762
Fifth Place Team - Finalist,CROMU_00002,1,-0.8415881421746287,-0.006448433071836401,-0.31740614334470985
Sixth Place Team - Finalist,CROMU_00002,0,0.18040443883924873,0.7694993222984352,1.1609783845278727
First Place Team - Finalist,CROMU_00002,0.636500241937276,0.03467478636650334,0.07212387563149458,0.21956769055745173
Tenth Place Team,CROMU_00002,1,0.014494868449443477,0.030630057091222795,0.056882821387940874
Seventh Place Team - Finalist,CROMU_00002,0.7173979313527465,0.007150289319838743,-0.008091345956380613,0.18657565415244592
Fourth Place Team - Finalist,CROMU_00002,0.5291696744837432,0.09280431390466193,0.043824701195219085,0.2724687144482367
Ninth Place Team,CROMU_00002,0.39028345172336043,-0.8238593415664758,-0.4635067975520598,0.3651877133105803
Third Place Team - Finalist,CROMU_00003,0.028429882044560872,0.2894634194230772,0.1208617282954958,0.9423328964613369
Fifth Place Team - Finalist,CROMU_00003,0.8848334885539619,0.08866514146230897,-0.006976087745473647,0.13106159895150715
Sixth Place Team - Finalist,CROMU_00003,1,0.08919437055710211,0.041816202266220515,0.0
First Place Team - Finalist,CROMU_00003,0.30860811273403344,0.1262963069169405,0.10399612887616438,0.44167758846657934
Tenth Place Team,CROMU_00003,0.902205789221468,0.12606198516177813,-0.002439614500584719,0.1035386631716908
Seventh Place Team - Finalist,CROMU_00003,1,0.09789936195402094,-0.006976087745473647,0.0
Fourth Place Team - Finalist,CROMU_00003,0.4655586255068624,0.0925970524646007,0.05981087947094643,0.3106159895150722
Ninth Place Team,CROMU_00003,0.07710528615115775,-0.04289600722791531,-0.6057099076575668,0.8435998252512014
Third Place Team - Finalist,CROMU_00004,1,-0.03270431880960878,-0.07563684775265267,0.00756146369353905
Second Place Team - Finalist,CROMU_00004,0.14956276096857923,0.6966272596986223,-0.08901959225847478,-0.007561463693539161
First Place Team - Finalist,CROMU_00004,0.721496714977051,0.18502916135511072,0.08854270158566147,0.003780731846769747
Tenth Place Team,CROMU_00004,1,0.012802051675499415,-0.010104121130230848,0.0
Seventh Place Team - Finalist,CROMU_00004,1,0.010705422224777328,-0.006875173866391138,0.015122927387078322
Fourth Place Team - Finalist,CROMU_00004,1,0.0318272653350935,0.030352104280093828,0.013228987993139096
Third Place Team - Finalist,CROMU_00005,0.16150612502251838,0.07073981941976926,0.03263795423956939,0.6724013691226807
Second Place Team - Finalist,CROMU_00005,0.8731948092724594,0.011689878719618907,0.03499327052489898,0.1344802738245361
Fifth Place Team - Finalist,CROMU_00005,0.8731948092724594,0.015087731587264841,-0.007276244952893696,0.1344802738245361
Sixth Place Team - Finalist,CROMU_00005,0,0.15116150705848508,0.6030450874831763,1.1227562601333094
First Place Team - Finalist,CROMU_00005,1,-0.012228670961211718,0.01980989232839847,0.0
Tenth Place Team,CROMU_00005,0.8731948092724594,0.027175855778224012,-0.0025866419919245986,0.1344802738245361
Seventh Place Team - Finalist,CROMU_00005,0.905715031088399,-0.02181464420565049,-0.007276244952893696,0.12506665465681843
Fourth Place Team - Finalist,CROMU_00005,0.43405013499966083,0.027220131794043256,0.03422568977119789,0.33201225004503687
Ninth Place Team,CROMU_00005,0.19950212634194942,0.08112493437879564,-0.6094380888290714,0.5962808502972439
Third Place Team - Finalist,CROMU_00006,0.1870306950087307,-0.021422306243631173,0.02166893643192891,0.6206273934914184
Fifth Place Team - Finalist,CROMU_00006,0.6687340704266954,-0.08395648728538108,-0.0068422439924439304,0.2058255943942393
Sixth Place Team - Finalist,CROMU_00006,0.17585414467808724,0.18771398309632836,0.14905768132495711,0.6432978809775107
First Place Team - Finalist,CROMU_00006,0.5497349216210748,0.03190634105928325,0.011246320783727892,0.2613461070065761
Tenth Place Team,CROMU_00006,0.4609733171641208,0.05125284373811523,-0.0018890304441417927,0.3136153284078915
Seventh Place Team - Finalist,CROMU_00006,0.025550908385322146,0.9481725996240931,0.03987831129464481,0.540716083461882
Fourth Place Team - Finalist,CROMU_00006,0.3233088962486599,0.10536059284814514,0.06277731406229403,0.42615896728099356
Ninth Place Team,CROMU_00006,0.18628091255987667,-0.32307134160752493,-0.8038044194526205,0.6221482503856457
Third Place Team - Finalist,CROMU_00008,1,-0.3614441010472339,0.058888118354137875,0.03866938030738987
Second Place Team - Finalist,CROMU_00008,1,-0.15323014329547613,-0.0073971336107258034,-0.00621956919850053
